,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
261,Name an Indian actress and a Politician from Indian National Congress and a social activist?,Nafisa Ali  (born 18 January 1957) is an Indian actress and a Politician from Indian National Congress and a social activist.,"[[-0.02874381  0.04943122  0.18735804 ...  0.02022506  0.00302559
   0.07755338]]",Nafisa Ali  (born 18 January 1957) is an Indian actress and a Politician from Indian National Congress and a social activist.,Nafisa Ali  
262,Name an Israeli politician and former journalist serving as chairman of the Yesh Atid party?,Yair Lapid (Hebrew: יאיר לפיד‎; born 5 November 1963) is an Israeli politician and former journalist serving as chairman of the Yesh Atid party.,"[[-0.02874381  0.10163191  0.21571757 ...  0.04377363  0.01586527
   0.15444441]]",Yair Lapid (Hebrew: יאיר לפיד‎; born 5 November 1963) is an Israeli politician and former journalist serving as chairman of the Yesh Atid party.,Yair Lapid 
263,When was Asaduzzaman Noor born?,"Asaduzzaman Noor (born 31 October 1946) is a Bangladeshi actor, politician and activist.","[[ 0.01185189  0.04943122 -0.14576186 ... -0.00042518  0.0098816
   0.00807156]]","Asaduzzaman Noor (born 31 October 1946) is a Bangladeshi actor, politician and activist.",31 October 1946
264,"Name an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye?","William George Rushton (18 August 1937 – 11 December 1996) was an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye.",[[0.01109498 0.07410296 0.11909566 ... 0.02091281 0.16173978 0.0938169 ]],"William George Rushton (18 August 1937 – 11 December 1996) was an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye.",William George Rushton 
265,"Name a British television personality, television chef, actress, singer and former politician?","Rustie Lee is a British television personality, television chef, actress, singer and former politician.",[[0.01666664 0.08381353 0.17810856 ... 0.06837374 0.02197517 0.08529013]],"Rustie Lee is a British television personality, television chef, actress, singer and former politician.",Rustie Lee is a British television personality
266,"When did Alfred Arthur Hinchcliffe Denville,an English actor, theatre impresario and Conservative Party politician die?","Alfred Arthur Hinchcliffe Denville (27 January 1876 – 23 March 1955) was an English actor, theatre impresario and Conservative Party politician.","[[-0.00926997  0.07433592  0.11350191 ...  0.04710466  0.14276375
   0.10403799]]","Alfred Arthur Hinchcliffe Denville (27 January 1876 – 23 March 1955) was an English actor, theatre impresario and Conservative Party politician.",23 March 1955
267,"When was Bruce Belfrage, an English actor and BBC radio newsreader born?",Bruce Belfrage (30 October 1900 – August 1974) was an English actor and BBC radio newsreader.,"[[-0.0171751   0.21600074  0.11531688 ...  0.05665636  0.07798304
   0.09369296]]",Bruce Belfrage (30 October 1900 – August 1974) was an English actor and BBC radio newsreader.,October 1900 –
268,"Name an English Liberal Democrat local politician, journalist, children's book author and former model and actress?","Marina Augusta Pepper (née Baker; born 8 December 1967)  is an English Liberal Democrat local politician, journalist, children's book author and former model and actress.",[[0.01109498 0.10212713 0.12568705 ... 0.06554534 0.08831325 0.09342783]],"Marina Augusta Pepper (née Baker; born 8 December 1967)  is an English Liberal Democrat local politician, journalist, children's book author and former model and actress.",Marina Augusta Pepper 
269,"Name a Russian politician, TV anchor, journalist, socialite and actress?","Ksenia Anatolyevna Sobchak  (born 5 November 1981) is a Russian politician, TV anchor, journalist, socialite and actress.",[[0.04851269 0.04943122 0.12131921 ... 0.04139286 0.00668386 0.09320256]],"Ksenia Anatolyevna Sobchak  (born 5 November 1981) is a Russian politician, TV anchor, journalist, socialite and actress.",Ksenia Anatolyevna Sobchak  
270,Who is Nikolai Nikolaevich Gubenko?,"Nikolai Nikolaevich Gubenko (Russian: Николай Николаевич Губенко) (born 17 August 1941) is a Soviet and Russian actor, film and theatre director, screenwriter, founder of the Community of Taganka Actors theatre.","[[-0.01053621  0.04943122 -0.07449479 ... -0.01258786  0.03690127
   0.00642062]]",T.S.,Answer not found!
271,Who is Stanislav Sergeyevich Govorukhin?,"Stanislav Sergeyevich Govorukhin (Russian: Станислав Сергеевич Говорухин; 29 March 1936 – 14 June 2018) was a Soviet and Russian film director, actor, screenwriter, producer and politician.","[[ 0.02462268  0.04943122  0.02846102 ...  0.03935224 -0.05709312
   0.02535619]]","Mikhail Sergeyevich Yevdokimov (Russian: Михаил Сергеевич Евдокимов; December 6, 1957 – August 7, 2005) was a Russian comedian, actor and politician.",Answer not found!
272,Who is Rolan Antonovich Bykov?,"Rolan Antonovich Bykov (Russian: Ролан Антонович Быков; October 12, 1929 – October 6, 1998) was a Soviet and Russian actor, theatre and film director, screenwriter, educator at High Courses for Scriptwriters and Film Directors, poet and song writer, as well as a politician and a banker.","[[-0.02042911  0.04943122  0.00151815 ... -0.01258786 -0.02848936
   0.00914073]]",Yury Petrovich Vlasov (Russian: Юрий Петрович Власов; born 5 December 1935) is a Soviet writer and retired heavyweight weightlifter and politician.,Answer not found!
273,Who is Vladimir Vladimirovich Bortko PAR?,"Vladimir Vladimirovich Bortko PAR (Russian: Владимир Владимирович Бортко; born May 7, 1946 in Moscow), is a Russian film director, screenwriter, producer and politician.","[[-0.01493366  0.11730181  0.02827073 ... -0.01258786 -0.04457357
   0.03745746]]","Vladimir Vladimirovich Bortko PAR (Russian: Владимир Владимирович Бортко; born May 7, 1946 in Moscow), is a Russian film director, screenwriter, producer and politician.","Vladimir Vladimirovich Bortko PAR (Russian: Владимир Владимирович Бортко; born May 7, 1946 in Moscow), is a Russian film director, screenwriter, producer and politician."
274,Name a Mexican actress and politician associated with the Institutional Revolutionary Party?,"Carmen Salinas Lozano (born October 5, 1939) is a Mexican actress and politician associated with the Institutional Revolutionary Party (PRI).",[[0.01666664 0.20210373 0.11583042 ... 0.0596074  0.01952031 0.08596154]],"Carmen Salinas Lozano (born October 5, 1939) is a Mexican actress and politician associated with the Institutional Revolutionary Party (PRI).",Carmen Salinas Lozano 
275,"Name  a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator?","Jean Lapointe,  (born December 6, 1935) is a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator.","[[ 0.01666664  0.10412206  0.1803434  ... -0.00827244 -0.04022951
   0.09493254]]","Jean Lapointe,  (born December 6, 1935) is a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator.",Jean Lapointe
276,Name an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.?,"Elizabeth Rose Ball (born October 20, 1995) is an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.","[[-0.02424612  0.08694644  0.17356892 ...  0.02240627  0.01163893
   0.1154775 ]]","Elizabeth Rose Ball (born October 20, 1995) is an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.",Elizabeth Rose Ball 
277,"Name an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981)?","Ralph Waite (June 22, 1928 – February 13, 2014) was an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981), which he occasionally directed.","[[-0.02874381  0.08118476  0.1247719  ...  0.09600525  0.01017913
   0.10028271]]","Ralph Waite (June 22, 1928 – February 13, 2014) was an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981), which he occasionally directed.",Ralph Waite 
278,"Name an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer?","Gerald Norman Springer (born February 13, 1944) is an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer.","[[-0.02874381  0.13970634  0.24190767 ...  0.01858979  0.01169246
   0.11476644]]","Gerald Norman Springer (born February 13, 1944) is an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer.",Gerald Norman Springer 
279,"Name an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma?","William Penn Adair Rogers (November 4, 1879 – August 15, 1935) was an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma.","[[-0.02874381  0.12473074  0.1124164  ... -0.01258786  0.0639188
   0.09060284]]","William Penn Adair Rogers (November 4, 1879 – August 15, 1935) was an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma.",William Penn Adair Rogers 
280,"Name an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent?","Park Overall (born March 15, 1957) is an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent.",[[0.04614154 0.14882061 0.2168369  ... 0.0913212  0.05304182 0.1273169 ]],"Park Overall (born March 15, 1957) is an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent.",Park Overall 
281,When was Cynthia Ellen Nixon born?,"Cynthia Ellen Nixon (born April 9, 1966) is an American actress and activist.","[[-0.01890067  0.04943122  0.08780394 ...  0.05820932 -0.00288236
   0.04745362]]","Cynthia Ellen Nixon (born April 9, 1966) is an American actress and activist.","April 9, 1966"
282,When did George Lloyd Murphy die?,"George Lloyd Murphy (July 4, 1902 – May 3, 1992) was an American dancer, actor, and politician.","[[-0.02874381  0.04943122 -0.0792149  ...  0.01691621 -0.03078209
  -0.02926103]]",Thos.,Answer not found!
283,"Who is William M. ""Sonny"" Landham?","William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American film actor and stunt man.","[[-0.02042911  0.04943122  0.10771544 ...  0.07202136  0.00434575
   0.00945435]]","William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American film actor and stunt man.","William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American film actor and stunt man."
284,"Name an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District?","Sheila James Kuehl (born February 9, 1941) is an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District.","[[-0.02874381  0.1152857   0.16183828 ...  0.06591079  0.03388332
   0.10826784]]","Sheila James Kuehl (born February 9, 1941) is an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District.",Sheila James Kuehl 
285,"Name an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard?","Ben Lewis Jones (born August 30, 1941) is an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard.","[[-0.02874381  0.07361285  0.11968386 ...  0.02684367  0.1101502
   0.09689172]]","Ben Lewis Jones (born August 30, 1941) is an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard.",Ben Lewis Jones 
